Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Gary Lucas,SDP,4/16/80,8/5/80,-0.6,113.1,4,7,18,0.364,3.81,115,6,30,56,474,152,51,-5.53,0.97,lucasga01
Micah Owings,ARI,4/6/07,8/7/07,-0.6,105.1,5,6,19,0.455,4.96,115,11,42,70,469,168,46,-3.58,1.05,owingmi01
John Danks,CHW,4/8/07,8/7/07,-0.6,118,6,9,21,0.4,4.96,128,22,45,91,518,179,47,-5.93,0.95,danksjo01
Joey Lucchesi,SDP,3/30/18,8/29/18,-0.6,105.1,7,7,21,0.5,3.59,98,16,37,114,443,143,53,-0.28,0.9,lucchjo01
Charlie Lea,MON,6/12/80,10/5/80,-0.6,104,7,5,19,0.583,3.72,103,5,55,56,458,164,49,-5.4,1.11,leach01
Jim Abbott,CAL,4/8/89,8/12/89,-0.7,127,10,8,21,0.556,3.76,133,8,51,83,552,197,50,-5.29,1.02,abbotji01
Ben Sheets,MIL,4/5/01,8/5/01,-0.7,129.2,10,9,21,0.526,4.79,137,19,45,84,559,191,48,-8.79,0.9,sheetbe01
James Shields,TBD,5/31/06,9/22/06,-0.7,124.2,6,8,21,0.429,4.84,141,18,38,104,540,187,48,-2.05,1.09,shielja02
Rocky Coppinger,BAL,6/11/96,9/15/96,-0.7,109.2,8,6,20,0.571,5.74,117,25,56,91,490,176,45,-6.56,0.97,coppiro01
Williams Pérez,ATL,5/8/15,9/18/15,-0.7,104.2,6,6,18,0.5,5.16,117,12,47,68,464,174,46,-10.13,1.01,perezwi01
David Hess,BAL,2018-05-12 (1),9/28/18,-0.7,103.1,3,10,19,0.231,4.88,106,22,37,74,454,156,47,-11.29,0.94,hessda01
Adam Loewen,BAL,5/23/06,9/24/06,-0.7,107,6,6,18,0.5,5.3,108,7,57,93,480,177,48,-5.99,1.02,loewead01
